Epoch 0/100: train_loss=8.0306, val_loss=2.3952
Epoch 1/100: train_loss=5.8518, val_loss=2.1213
Epoch 2/100: train_loss=5.2615, val_loss=2.0734
Epoch 3/100: train_loss=4.8890, val_loss=2.0870
Epoch 4/100: train_loss=4.5540, val_loss=2.1131
Epoch 5/100: train_loss=4.3047, val_loss=2.0756
Epoch 6/100: train_loss=4.1274, val_loss=2.0539
Epoch 7/100: train_loss=3.9442, val_loss=2.0864
Epoch 8/100: train_loss=3.7921, val_loss=2.0614
Epoch 9/100: train_loss=3.6530, val_loss=2.0405
Epoch 10/100: train_loss=3.5297, val_loss=2.0647
Epoch 11/100: train_loss=3.4285, val_loss=2.0617
Epoch 12/100: train_loss=3.3368, val_loss=2.0737
Epoch 13/100: train_loss=3.2600, val_loss=2.0967
Epoch 14/100: train_loss=3.1920, val_loss=2.0992
Epoch 15/100: train_loss=3.1335, val_loss=2.1956
Epoch 16/100: train_loss=3.0723, val_loss=2.1358
Epoch 17/100: train_loss=3.0483, val_loss=2.1352
Epoch 18/100: train_loss=3.0270, val_loss=2.1214
Epoch 19/100: train_loss=3.0033, val_loss=2.0963
Epoch 20/100: train_loss=2.9899, val_loss=2.1062
Epoch 21/100: train_loss=2.9731, val_loss=2.1309
Epoch 22/100: train_loss=2.9482, val_loss=2.1269
Epoch 23/100: train_loss=2.9425, val_loss=2.1165
Epoch 24/100: train_loss=2.9335, val_loss=2.1025
