[2025-10-22 22:09:37] ✓ Loaded normalization parameters from metadata
[2025-10-22 22:09:37]   Type: minmax
[2025-10-22 22:09:37]   Feature range: [0.0000, 5.9859] (min)
[2025-10-22 22:09:37]   Feature range: [9.3461, 100.0000] (range)
[2025-10-22 22:09:41] Train batches: 18368
[2025-10-22 22:09:41] Val batches: 2296
[2025-10-22 22:09:41] Test batches: 2296
[2025-10-22 22:09:41] Model created: 134,497 parameters
[2025-10-22 22:09:41] ======================================================================
[2025-10-22 22:09:41] Starting training
[2025-10-22 22:09:41] ======================================================================
[2025-10-22 22:10:09] Epoch 0 [7400/18368] Power Loss: 9.5874
[2025-10-22 22:10:09] Epoch 0 [7500/18368] Power Loss: 9.5747
[2025-10-22 22:10:09] Epoch 0 [7600/18368] Power Loss: 9.5643
[2025-10-22 22:10:10] Epoch 0 [7700/18368] Power Loss: 9.5511
[2025-10-22 22:10:10] Epoch 0 [7800/18368] Power Loss: 9.5385
[2025-10-22 22:10:10] Epoch 0 [7900/18368] Power Loss: 9.5258
[2025-10-22 22:10:11] Epoch 0 [8000/18368] Power Loss: 9.5131
[2025-10-22 22:10:11] Epoch 0 [8100/18368] Power Loss: 9.4997
[2025-10-22 22:10:12] Epoch 0 [8200/18368] Power Loss: 9.4864
[2025-10-22 22:10:12] Epoch 0 [8300/18368] Power Loss: 9.4723
[2025-10-22 22:10:12] Epoch 0 [8400/18368] Power Loss: 9.4572
[2025-10-22 22:10:13] Epoch 0 [8500/18368] Power Loss: 9.4425
[2025-10-22 22:10:13] Epoch 0 [8600/18368] Power Loss: 9.4270
[2025-10-22 22:10:13] Epoch 0 [8700/18368] Power Loss: 9.4112
[2025-10-22 22:10:14] Epoch 0 [8800/18368] Power Loss: 9.3959
[2025-10-22 22:10:14] Epoch 0 [8900/18368] Power Loss: 9.3800
[2025-10-22 22:10:15] Epoch 0 [9000/18368] Power Loss: 9.3642
[2025-10-22 22:10:15] Epoch 0 [9100/18368] Power Loss: 9.3478
[2025-10-22 22:10:15] Epoch 0 [9200/18368] Power Loss: 9.3307
[2025-10-22 22:10:16] Epoch 0 [9300/18368] Power Loss: 9.3144
[2025-10-22 22:10:16] Epoch 0 [9400/18368] Power Loss: 9.2993
[2025-10-22 22:10:16] Epoch 0 [9500/18368] Power Loss: 9.2834
[2025-10-22 22:10:17] Epoch 0 [9600/18368] Power Loss: 9.2676
[2025-10-22 22:10:17] Epoch 0 [9700/18368] Power Loss: 9.2512
[2025-10-22 22:10:17] Epoch 0 [9800/18368] Power Loss: 9.2355
