Epoch 0/100: train_loss=8.1431, val_loss=2.1778
Epoch 1/100: train_loss=5.6484, val_loss=2.1566
Epoch 2/100: train_loss=5.1023, val_loss=2.1292
Epoch 3/100: train_loss=4.7534, val_loss=2.0943
Epoch 4/100: train_loss=4.4437, val_loss=2.0844
Epoch 5/100: train_loss=4.1969, val_loss=2.1655
Epoch 6/100: train_loss=4.0517, val_loss=2.1599
Epoch 7/100: train_loss=3.9291, val_loss=2.1328
Epoch 8/100: train_loss=3.8163, val_loss=2.1676
Epoch 9/100: train_loss=3.7215, val_loss=2.1886
Epoch 10/100: train_loss=3.6418, val_loss=2.2217
Epoch 11/100: train_loss=3.5726, val_loss=2.2374
Epoch 12/100: train_loss=3.5355, val_loss=2.2435
Epoch 13/100: train_loss=3.5043, val_loss=2.2739
Epoch 14/100: train_loss=3.4766, val_loss=2.2509
Epoch 15/100: train_loss=3.4492, val_loss=2.2451
Epoch 16/100: train_loss=3.4244, val_loss=2.2962
Epoch 17/100: train_loss=3.3980, val_loss=2.2676
Epoch 18/100: train_loss=3.3842, val_loss=2.2680
Epoch 19/100: train_loss=3.3714, val_loss=2.2758
